Player,Survivor Pick,2 Point Spread,1 Point Spread (1),1 Point Spread (2),1 Point Spread (3),1 Point Spread (4),Survivor Point,2 Point Spread Points,1 Point Spread (1) Points,1 Point Spread (2) Points,1 Point Spread (3) Points,1 Point Spread (4) Points,Total Points,Special,Week
AhhTheHeff,IND,NO,LAR,DEN,ARI,JAX,1,2.0,0.0,1.0,0.0,1.0,4.0,0,5
aif,IND,NE,DEN,LAC,NYG,NYJ,1,2.0,1.0,0.0,0.0,0.0,3.0,0,5
Andy Molitor,ARI,NYJ,DET,SEA,CAR,LV,0,0.0,1.0,0.0,1.0,0.0,0.0,0,5
Andy Veit,ARI,MIN,PHI,BUF,NYG,BAL,0,2.0,0.0,0.0,0.0,0.0,0.0,0,5
bdigital2,ARI,NO,DEN,NYJ,MIN,WAS,0,2.0,1.0,0.0,1.0,1.0,0.0,0,5
BenJ,DET,DEN,SEA,LAC,NO,NE,1,2.0,0.0,0.0,1.0,1.0,4.0,0,5
bhead,MIN,DET,CAR,BAL,LV,NYG,1,2.0,1.0,0.0,0.0,0.0,3.0,0,5
BigBill,DET,NYG,MIN,LV,TB,HOU,1,0.0,1.0,0.0,1.0,1.0,3.0,0,5
bjv511,ARI,DET,HOU,LAC,SEA,NE,0,2.0,1.0,0.0,0.0,1.0,0.0,0,5
blwood8,ARI,LAC,BUF,DET,NYJ,PHI,0,0.0,0.0,1.0,0.0,0.0,0.0,0,5
BQWhale,IND,SEA,LAC,NYJ,KC,NO,1,0.0,0.0,0.0,0.0,1.0,1.0,0,5
brad_wellsandt,IND,TB,PHI,BAL,NYG,BUF,1,2.0,0.0,0.0,0.0,0.0,2.0,0,5
cforrest,LAR,PHI,DAL,TB,LV,KC,0,0.0,1.0,1.0,0.0,0.0,0.0,0,5
Chief Wahoo,LAR,MIA,KC,NO,SEA,WAS,0,0.0,0.0,1.0,0.0,1.0,0.0,0,5
csaul52,BUF,DET,ARI,PHI,NYG,MIA,0,2.0,0.0,0.0,0.0,0.0,0.0,0,5
Dame,LAR,LV,CLE,CAR,NYJ,DEN,0,0.0,0.0,1.0,0.0,1.0,0.0,0,5
donnybaseballl,DET,KC,NYJ,LAC,LV,NE,1,0.0,0.0,0.0,0.0,1.0,1.0,0,5
durtybirdz,DET,SEA,MIA,JAX,WAS,LV,1,0.0,0.0,1.0,1.0,0.0,2.0,0,5
edub1321,ARI,DAL,MIA,BAL,WAS,KC,0,2.0,0.0,0.0,1.0,0.0,0.0,0,5
GeauxPepper,SF,WAS,SEA,BUF,KC,NYJ,1,2.0,0.0,0.0,0.0,0.0,2.0,0,5
gfoster,LAR,BAL,NYG,WAS,DEN,LV,0,0.0,0.0,1.0,1.0,0.0,0.0,0,5
Ha'Analytics,SEA,NYJ,PHI,NO,TEN,CAR,0,0.0,0.0,1.0,1.0,1.0,0.0,0,5
jeff_underscore,IND,KC,TB,DAL,MIN,MIA,1,0.0,1.0,1.0,1.0,0.0,3.0,0,5
jmsieglaff,LAR,LV,BAL,SEA,DET,ARI,0,0.0,0.0,0.0,1.0,0.0,0.0,0,5
jrhippy,LAR,NO,NE,LV,CAR,WAS,0,2.0,1.0,0.0,1.0,1.0,0.0,0,5
KB,ARI,PHI,MIN,BAL,DAL,DET,0,0.0,1.0,0.0,1.0,1.0,0.0,0,5
Kdube328,ARI,PHI,BAL,KC,LAC,TB,0,0.0,0.0,0.0,0.0,1.0,0.0,0,5
Kell,LAR,MIN,NO,CAR,SEA,PHI,0,2.0,1.0,1.0,0.0,0.0,0.0,0,5
kregs525,MIN,PHI,DET,CAR,NE,LAC,1,0.0,1.0,1.0,1.0,0.0,3.0,0,5
laterza12,LAR,ARI,SEA,LAC,DAL,MIA,0,0.0,0.0,0.0,1.0,0.0,0.0,0,5
LebrarianBooker97497,IND,TB,CAR,DEN,NE,DAL,1,2.0,1.0,1.0,1.0,1.0,6.0,0,5
LimRon,ARI,NE,JAX,LV,SEA,CIN,0,2.0,1.0,0.0,0.0,0.0,0.0,0,5
magicp18,LAR,MIN,IND,HOU,ARI,LAC,0,2.0,1.0,1.0,0.0,0.0,0.0,0,5
markj7237,BUF,LAC,JAX,SEA,NYG,PHI,0,0.0,1.0,0.0,0.0,0.0,0.0,0,5
mattporter328,IND,SEA,MIN,DEN,DET,NE,1,0.0,1.0,1.0,1.0,1.0,4.0,0,5
mbw_87,ARI,IND,NYJ,CLE,LAC,SEA,0,2.0,0.0,0.0,0.0,0.0,0.0,0,5
melvi$,ARI,DEN,DAL,BAL,DET,TB,0,2.0,1.0,0.0,1.0,1.0,0.0,0,5
ModelGary,DET,BUF,NYJ,PHI,MIN,JAX,1,0.0,0.0,0.0,1.0,1.0,2.0,0,5
MrTuxedo,DET,LAR,CAR,DEN,HOU,NYG,1,0.0,1.0,1.0,1.0,0.0,3.0,0,5
nolanscougarpie,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5
NotaMushMike,ARI,JAX,NO,LV,CAR,NE,0,2.0,1.0,0.0,1.0,1.0,0.0,0,5
OddJob,MIN,HOU,SEA,DEN,NYJ,KC,1,2.0,0.0,1.0,0.0,0.0,3.0,0,5
PatrickfromSTL,ARI,LAC,MIA,DET,LV,HOU,0,0.0,0.0,1.0,0.0,1.0,0.0,0,5
Pinnacle,IND,PHI,NO,CIN,BAL,ARI,1,0.0,1.0,0.0,0.0,0.0,1.0,0,5
Puffinmusket,MIN,TEN,HOU,MIA,IND,DEN,1,2.0,1.0,0.0,1.0,1.0,5.0,0,5
rburt23,IND,SEA,LAC,ARI,CAR,KC,1,0.0,0.0,0.0,1.0,0.0,1.0,0,5
scanmanfilms,DET,TB,DAL,NE,NYG,WAS,1,2.0,1.0,1.0,0.0,1.0,5.0,0,5
Southpaw_hack,LAR,SEA,CLE,DEN,DET,CAR,0,0.0,0.0,1.0,1.0,1.0,0.0,0,5
Spasmus,IND,LAC,ARI,BAL,SEA,PHI,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5
stonecoldjake,ARI,DET,SEA,DEN,LAC,BUF,0,2.0,0.0,1.0,0.0,0.0,0.0,0,5
Sullyinchicago,BUF,DET,TB,PHI,HOU,NO,0,2.0,1.0,0.0,1.0,1.0,0.0,0,5
